Square 0,Square 1,Square 2,Square 3,Square 4,Square 5,Square 6,Square 7,Square 8,Square 9,Square 10,Square 11,Square 12,Square 13,Square 14,Square 15,Square 16,Square 17,Square 18,Square 19,Square 20,Square 21,Square 22,Square 23,Square 24,Square 25,Square 26,Square 27,Square 28,Square 29,Square 30,Square 31,Square 32,Square 33,Square 34,Square 35,Square 36,Square 37,Square 38,Square 39,Square 40,Square 41,Square 42,Square 43,Square 44,Square 45,Square 46,Square 47,Square 48,Square 49,Square 50,Square 51,Square 52,Square 53,Type
0,1,0,3,3,3,3,3,3,4,2,1,0,0,0,0,0,0,2,3,2,1,1,1,1,1,1,3,0,4,2,2,2,2,2,2,1,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,000100000001
1,0,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,000000000000
3,4,2,3,3,3,3,3,3,4,4,0,0,0,0,0,0,0,1,3,4,1,1,1,1,1,1,3,1,2,2,2,2,2,2,2,4,4,0,0,4,4,1,2,4,5,5,5,5,5,5,5,5,5,010110001000
2,4,3,3,3,3,3,3,3,4,4,4,0,0,0,0,0,0,3,4,0,1,1,1,1,1,1,1,4,1,2,2,2,2,2,2,4,1,4,2,4,0,2,3,0,5,5,5,5,5,5,5,5,5,010111010010
4,4,4,3,3,3,3,3,3,1,1,3,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,3,4,1,2,2,2,2,2,2,0,3,4,0,4,4,2,4,4,5,5,5,5,5,5,5,5,5,111000000010
3,1,1,3,3,3,3,3,3,2,0,4,0,0,0,0,0,0,2,3,4,1,1,1,1,1,1,0,2,4,2,2,2,2,2,2,0,4,1,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,000001001001
1,4,0,3,3,3,3,3,3,4,4,2,0,0,0,0,0,0,4,3,3,1,1,1,1,1,1,4,0,0,2,2,2,2,2,2,4,4,2,1,4,4,3,2,1,5,5,5,5,5,5,5,5,5,010110100100
0,4,0,3,3,3,3,3,3,4,4,2,0,0,0,0,0,0,4,0,4,1,1,1,1,1,1,2,1,4,2,2,2,2,2,2,1,4,3,3,4,4,3,2,1,5,5,5,5,5,5,5,5,5,010110101001
2,3,4,3,3,3,3,3,3,2,4,1,0,0,0,0,0,0,4,4,3,1,1,1,1,1,1,0,0,1,2,2,2,2,2,2,4,4,4,4,4,2,3,1,0,5,5,5,5,5,5,5,5,5,001010110000
4,1,4,3,3,3,3,3,3,3,0,2,0,0,0,0,0,0,3,2,0,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,4,4,4,4,4,0,4,4,5,5,5,5,5,5,5,5,5,101000000000
4,1,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,4,4,1,1,1,1,1,1,3,4,2,2,2,2,2,2,2,1,2,0,4,4,0,4,4,4,5,5,5,5,5,5,5,5,5,100000011010
1,2,4,3,3,3,3,3,3,3,1,4,0,0,0,0,0,0,1,0,4,1,1,1,1,1,1,2,3,0,2,2,2,2,2,2,4,4,3,4,4,4,0,4,2,5,5,5,5,5,5,5,5,5,001001001000
3,2,4,3,3,3,3,3,3,1,4,4,0,0,0,0,0,0,3,3,4,1,1,1,1,1,1,0,4,2,2,2,2,2,2,2,4,1,1,4,4,4,2,0,0,5,5,5,5,5,5,5,5,5,001011001010
4,4,2,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,4,2,2,1,1,1,1,1,1,4,1,1,2,2,2,2,2,2,0,4,1,0,4,4,4,3,3,5,5,5,5,5,5,5,5,5,110010100100
3,4,4,2,2,2,2,2,2,3,4,2,3,3,3,3,3,3,4,4,0,0,0,0,0,0,0,1,4,2,1,1,1,1,1,1,4,0,4,1,4,2,0,3,1,5,5,5,5,5,5,5,5,5,011010110010
2,4,1,3,3,3,3,3,3,4,1,1,0,0,0,0,0,0,2,3,3,1,1,1,1,1,1,0,4,4,2,2,2,2,2,2,3,2,4,0,4,4,0,4,4,5,5,5,5,5,5,5,5,5,010100000011
