Square 0,Square 1,Square 2,Square 3,Square 4,Square 5,Square 6,Square 7,Square 8,Square 9,Square 10,Square 11,Square 12,Square 13,Square 14,Square 15,Square 16,Square 17,Square 18,Square 19,Square 20,Square 21,Square 22,Square 23,Square 24,Square 25,Square 26,Square 27,Square 28,Square 29,Square 30,Square 31,Square 32,Square 33,Square 34,Square 35,Square 36,Square 37,Square 38,Square 39,Square 40,Square 41,Square 42,Square 43,Square 44,Square 45,Square 46,Square 47,Square 48,Square 49,Square 50,Square 51,Square 52,Square 53,Type
1,3,2,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RLBLFLFRRBBF
1,0,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFBLBLFRRBLF
3,3,1,3,3,3,3,3,3,2,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LLRBBLFFFRRB
3,3,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFBLLFRRRBBL
3,1,3,3,3,3,3,3,3,0,3,1,0,0,0,0,0,0,2,2,0,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LRLFLRBBFRFB
3,2,0,3,3,3,3,3,3,1,0,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LBFRFLFRRBLB
3,3,0,3,3,3,3,3,3,1,0,3,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LLFRFLFBRBRB
1,1,3,3,3,3,3,3,3,0,3,1,0,0,0,0,0,0,2,0,2,1,1,1,1,1,1,3,2,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RRLFLRBFBLBF
2,3,0,3,3,3,3,3,3,1,2,3,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLFRBLFFBLRR
1,3,3,3,3,3,3,3,3,0,1,2,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,2,2,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RLLFRBLFRBBF
0,1,2,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,2,3,0,1,1,1,1,1,1,1,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FRBLBRBLFRFL
0,0,1,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFRBBBLLFRRL
0,0,0,3,3,3,3,3,3,1,1,2,0,0,0,0,0,0,3,3,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFFRRBLLRBBL
1,1,2,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,2,2,3,1,1,1,1,1,1,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RRBLLRBBLFFF
3,0,3,2,2,2,2,2,2,0,1,0,3,3,3,3,3,3,1,3,1,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FRFRBRBFBLLL
3,1,1,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,1,3,3,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LRRBFFRLLFBB
